fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,draftHeight,draftWeight,draftU19games,draftU19average,draftU19last5,draftU19finals,draftU19highest,draftU19exlowest,draftU19rankgames,draftU19rankaverage,draftU19ranklast5,draftU19rankfinals,draftU19rankhighest,draftU19rankexlowest,draftlocalU19R1,draftlocalU19R2,draftlocalU19R3,draftlocalU19R4,draftlocalU19R5,draftlocalU19R6,draftlocalU19R7,draftlocalU19R8,draftlocalU19R9,draftlocalU19R10,draftlocalU19R11,draftlocalU19R12,draftlocalU19R13,draftlocalU19R14,draftlocalU19R15,draftlocalU19R16,draftlocalU19R17,draftlocalU19R18,draftlocalU19R19,draftlocalU19R20,draftState1sR1,draftState1sR2,draftState1sR3,draftState1sR4,draftState1sR5,draftState1sR6,draftState1sR7,draftState1sR8,draftState1sR9,draftState1sR10,draftState1sR11,draftState1sR12,draftState1sR13,draftState1sR14,draftState1sR15,draftState1sR16,draftState1sR17,draftState1sR18,draftState1sR19,draftState1sR20,draftState2sR1,draftState2sR2,draftState2sR3,draftState2sR4,draftState2sR5,draftState2sR6,draftState2sR7,draftState2sR8,draftState2sR9,draftState2sR10,draftState2sR11,draftState2sR12,draftState2sR13,draftState2sR14,draftState2sR15,draftState2sR16,draftState2sR17,draftState2sR18,draftState2sR19,draftState2sR20,draftPositionJunior,draftPlayerComp,draftRound1,afPrice40,afPrice60,afPrice80,scPrice40,scPrice60,scPrice80,
CD_I1019038,Aaron Cadman,1,Jnr,195,92,12,93,109,106,118,96,16,15,9,7,25,10,89,0,53,83,86,0,0,86,59,118,0,0,112,108,104,110,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Key Forward,Jeremy Cameron,Medium,54000,231000,408000,12780,122820,232860
CD_I1023517,Will Ashcroft,1,Jnr,182,78,14,118,125,113,149,122,3,4,2,5,9,1,66,123,137,96,0,0,0,117,138,149,0,0,131,0,127,116,106,105,117,122,0,0,0,0,0,96,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Mid,Clayton Oliver,High,56000,233000,410000,17280,127320,237360
CD_I1023518,Harry Sheezel,1,Jnr,185,80,14,89,89,59,159,93,22,4,21,34,5,14,73,65,99,137,0,0,0,65,159,138,0,0,76,0,63,128,54,34,79,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Half Forward,Toby Greene,Medium,58000,235000,412000,21780,131820,241860
CD_I1023477,George Wardlaw,1,Jnr,182,79,3,91,0,0,109,105,19,63,58,46,36,3,109,0,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Midfielder,Tom Liberatore,High,60000,237000,414000,26280,136320,246360
CD_I1023785,Elijah Tsatas,1,Jnr,187,80,6,115,115,128,149,121,4,49,6,3,9,2,87,108,149,103,0,0,0,0,0,0,0,0,0,0,0,115,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wing,Isaac Smith,High,62000,239000,416000,30780,140820,250860
CD_I1023500,Bailey Humphrey,1,Jnr,186,83,11,100,112,83,165,103,9,24,7,18,3,5,113,68,117,91,114,0,0,97,0,0,0,0,0,165,78,92,0,98,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-Forward,Jordan De Goey,Low,64000,241000,418000,35280,145320,255360
CD_I1023482,Cam Mackenzie,1,Jnr,188,82,10,87,80,88,140,89,26,28,27,13,12,21,68,71,87,70,0,0,0,0,0,140,0,0,0,0,0,80,74,95,68,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Mid,Tom Mitchell,Medium,66000,243000,420000,39780,149820,259860
CD_I1023537,Jhye Clark,1,Jnr,181,77,9,101,119,130,130,105,7,34,3,2,16,3,67,78,0,0,107,0,0,116,67,108,0,0,119,118,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Mid,Joel Selwood,Medium,68000,245000,422000,44280,154320,264360
CD_I1023025,Reuben Ginbey,1,Jnr,189,82,1,76,76,0,76,76,39,70,31,46,61,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,28,30,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Mid,Nat Fyfe,Low,70000,247000,424000,48780,158820,268860
CD_I1020137,Mattaes Phillipou,1,Jnr,190,89,8,123,0,0,158,72,2,37,58,46,6,37,88,103,0,126,72,135,148,155,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,56,0,0,80,0,0,0,General Mid,Marcus Bontempelli,High,72000,249000,426000,53280,163320,273360
CD_I1023495,Oliver Hollands,1,Jnr,183,71,5,94,92,102,115,100,13,56,20,8,31,8,70,0,0,115,0,0,0,0,0,0,0,84,0,0,0,99,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wing,Sam Walsh,High,74000,251000,428000,57780,167820,277860
CD_I1023708,Jaspa Fletcher,1,Jnr,183,76,3,92,0,0,95,93,18,63,58,46,49,14,95,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Mid,Hugh McCluggage,Low,76000,253000,430000,62280,172320,282360
CD_I1023017,Jedd Busslinger,1,Jnr,196,83,4,94,0,0,105,84,13,59,58,46,39,26,105,84,98,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Key defender,Tom Barrass,Low,78000,255000,432000,66780,176820,286860
