fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,fixedBackgroundTeam,fixedBackgroundDraft,fixedBackgroundPick,fixedBackgroundAge,fixedBackgroundU18Champs,fixedBackgroundStateLeague,fixedPositionPosition,fixedBackgroundReserves,fixedSplitsRegularCBA,fixedSplitsRegularKICKIN,fixedSplitsH1CBA,fixedSplitsH1KICKIN,fixedSplitsH2CBA,fixedSplitsH2KICKIN,fixedSplitsLast5CBA,fixedSplitsLast5KICKIN,fixedSplitsFinalsCBA,fixedSplitsFinalsKICKIN,fixedPracticeCBA,fixedPracticeKICKIN,fixedPreseasonCBA,fixedPreseasonKICKIN,fixedBestMatches,fixedBestCBA,fixedBestTOG,fixed2022Matches,fixed2022CBA,fixed2022TOG,fixed2021Matches,fixed2021CBA,fixed2021TOG,fixed2020Matches,fixed2020CBA,fixed2020TOG,fixed2019Matches,fixed2019TOG,fixed2018Matches,fixed2018TOG,fixed2017Matches,fixed2017TOG
CD_I293222,Rory Laird,12,Snr,ADEL,2011 Rookie,5,29,none,none,MID,none,78.45,0,76.5,0,80.4,0,81.4,0,none,none,none,none,none,none,25,80.68181818,86.7,20,78.45,78.45,22,80.68181818,78.45454545,17,38.04734784,80.94117647,22,86.7,20,85.4,25,85.2
CD_I1002232,Andrew Brayshaw,6,Snr,FRE,2017 National,2,23,75.5,105 [NAB League],MID,none,75.77272727,0,76.07692308,0,75.33333333,0,74.2,0,76,0,none,none,none,none,24,75.79166667,79.41666667,24,75.79166667,79.41666667,20,61.65,78.8,17,42.21884805,75.35294118,22,71,17,66.5,none,none
CD_I996701,Clayton Oliver,8,Snr,MELB,2015 National,4,25,none,none,MID,none,86.71428571,0,86.92307692,0,86.375,0,87.4,0,87,0,none,none,none,none,25,86.73913043,88.44,23,86.73913043,86.47826087,25,86.28,88.44,17,77.22895924,83.47058824,22,82.5,25,82.9,22,77
CD_I993905,Callum Mills,8,Snr,SYD,2015 National,3,25,none,none,MID,none,57.54545455,0.590909091,64.5,0,49.2,1.3,42,0,49.33333333,0,none,none,none,none,25,65.77777778,89.33333333,25,56.56,84.48,18,65.77777778,81.16666667,15,14.15438596,89.33333333,22,86,9,86.5,24,81.1
CD_I296205,Jack Steele,9,Snr,STK,2014 National,24,27,none,none,MID,none,81.77777778,0,81.33333333,0,82.22222222,0,76.8,0,none,none,none,none,none,none,22,83.36363636,85.47368421,18,81.77777778,85.11111111,22,83.36363636,85,19,82.10860744,85.47368421,20,84.3,21,79.5,20,75.7
CD_I295518,Sam Docherty,12,Snr,CARL,2011 National,12,29,none,none,DEF,none,7.818181818,30.81818182,0,26.90909091,15.63636364,34.72727273,33.6,16.6,none,none,none,none,none,none,22,7.818181818,92.9,22,7.818181818,86.13636364,14,0,86.71428571,16,0,82.4375,zero,zero,zero,zero,22,92.9
CD_I298272,Touk Miller,9,Snr,GCFC,2014 National,29,27,none,none,MID,none,80.40909091,0,78.5,0,82.7,0,80,0,none,none,none,none,none,none,22,80.40909091,86.68181818,22,80.40909091,86.68181818,21,78.9047619,84.85714286,17,65.24180709,82.41176471,18,81.9,22,84.4,20,81.3
CD_I993834,Josh Dunkley,8,Snr,BL,2015 National,25,26,none,none,MID/FWD,none,50.27272727,0,45.33333333,0,56.2,0,55.4,0,64,0,none,none,none,none,23,50.86956522,84.5,23,50.86956522,83.65217391,15,41.73333333,78.66666667,12,38.8388138,80.33333333,23,84.5,19,81.6,7,78.2
CD_I992016,Zach Merrett,10,Snr,ESS,2013 National,26,27,none,none,MID,none,67.10526316,1.052631579,60.5,2.5,71.90909091,0,72,0,none,none,none,none,none,none,23,80.47826087,83.10526316,19,67.10526316,83.10526316,23,80.47826087,82.47826087,16,56.1785982,82.4375,23,76.8,22,76.3,22,76.6
CD_I293535,Lachie Neale,12,Snr,BL,2011 National,58,29,none,none,MID,none,85.04545455,0,85.53846154,0,84.33333333,0,85.6,0,88.33333333,0,none,none,none,none,25,90.02307256,92.26315789,25,85.44,87.56,17,83,84.70588235,19,90.02307256,92.26315789,24,88.9,22,80.2,21,77.7
CD_I294307,Brad Crouch,12,Snr,STK,2011 Mini-Draft,2,29,none,none,MID,none,61.80952381,0,60,0,63.8,0,62.25,0,none,none,none,none,none,none,22,66.5,82.8,21,61.80952381,81.14285714,20,66.5,77.8,12,60.22790075,74.41666667,22,78.6,zero,zero,20,74.5
CD_I1006130,Bailey Smith,5,Snr,WB,2018 National,7,22,none,62 [WAFL Colts],MID,none,53.0625,0,53.1,0,53,0,53.2,0,55,0,none,none,none,none,26,61.95232789,88.47058824,17,53.17647059,88.47058824,26,29.19230769,82.07692308,18,61.95232789,77.33333333,23,73.6,none,none,none,none
CD_I295467,Jack Macrae,11,Snr,WB,2012 National,6,28,none,none,MID,none,63.68181818,0,65.58333333,0,61.4,0,59.6,0,68,0,none,none,none,none,26,77.69230769,86.6,23,63.86956522,80,26,77.69230769,82.84615385,18,74.53769235,85.05555556,23,85.3,19,85.8,22,85.9
CD_I1006094,Sam Walsh,5,Snr,CARL,2018 National,1,22,none,112 [NAB League],MID,none,54.8,0,52.8,0,56.8,0,61.5,0,none,none,none,none,none,none,22,67,87.36363636,20,54.8,82.9,22,67,87.36363636,17,11.8567056,84.47058824,22,84,none,none,none,none
CD_I290528,Max Gawn,14,Snr,MELB,2009 National,34,31,none,none,RUC,none,65.2,0,64.69230769,0,66.14285714,0,63.6,0,68.5,0,none,none,none,none,25,92.9843595,92.57142857,22,65.5,88.81818182,25,73.44,89.12,14,92.9843595,92.57142857,21,85.9,25,85,13,79.2
CD_I994389,Jack Sinclair,9,Snr,STK,2014 Rookie,1,28,none,none,DEF,none,10,38.95454545,17.45454545,26.81818182,2.545454545,51.09090909,0,64,none,none,none,none,none,none,22,30.80165142,84.36363636,22,10,84.36363636,21,7.285714286,81.57142857,12,30.80165142,78.25,22,81.2,20,84.3,17,83.9
CD_I1000978,Hugh McCluggage,7,Snr,BL,2016 National,3,25,95,121 [NAB League],MID,none,55,0,53.58333333,0,56.88888889,0,54.2,0,50.33333333,0,none,none,none,none,24,54.41666667,84.68421053,24,54.41666667,81.41666667,24,23.54166667,82.625,19,14.65061088,84.68421053,23,81.7,22,80.8,18,78.6
CD_I298210,Christian Petracca,9,Snr,MELB,2014 National,2,27,none,none,MID,none,76.77272727,0,84.23076923,0,66,0,57.2,0,53.5,0,none,none,none,none,25,79.16,89.94117647,24,74.83333333,87.66666667,25,79.16,89.48,17,66.20702605,89.94117647,22,88,24,82.9,22,80.6
CD_I990704,Patrick Cripps,10,Snr,CARL,2013 National,13,28,none,none,MID,none,82.14285714,0,78.7,0,85.27272727,0,88.4,0,none,none,none,none,none,none,22,84.9576292,89.9,21,82.14285714,81.14285714,20,79.2,84,17,84.9576292,85.35294118,20,89.9,22,89.5,15,83.3
CD_I1004592,Tim English,7,Snr,WB,2016 National,19,25,43.1,82 [WAFL Colts],RUC,none,84.33333333,0,87.42857143,0,81.625,0,82.2,0,82,0,none,none,none,none,22,86.83370202,87.61111111,16,84.1875,84.0625,22,50.22727273,82.31818182,18,86.83370202,87.61111111,20,83.8,7,80.4,2,66
CD_I296347,Josh Kelly,10,Snr,GWS,2013 National,2,28,none,none,MID,none,45.76190476,0,55.72727273,0,34.8,0,6.25,0,none,none,none,none,none,none,24,48.34782609,85.5,21,45.76190476,83.85714286,23,48.34782609,83.17391304,14,44.20172306,85.5,18,81.1,16,78.9,24,85.2
CD_I992242,Jordan Dawson,8,Snr,ADEL,2015 National,56,25,none,none,DEF,none,1.909090909,38.81818182,3.5,25.08333333,0,55.3,0,54.8,none,none,none,none,none,none,23,1.909090909,90.13636364,22,1.909090909,90.13636364,23,0,84.60869565,16,1.704545455,84,20,81.7,4,69.2,1,59.3
CD_I297373,Marcus Bontempelli,10,Snr,WB,2013 National,4,27,none,none,MID,none,58,0.523809524,55.18181818,0,61.1,1.1,60.4,2.2,64,0,none,none,none,none,26,77.36502097,86.3,22,58.27272727,84.68181818,26,73.15384615,84.34615385,18,77.36502097,86.22222222,23,84,19,86.2,22,86.3
CD_I993817,Darcy Parish,8,Snr,ESS,2015 National,5,25,none,none,MID,none,76,0,79.63636364,0,68,0,75.66666667,0,none,none,none,none,none,none,23,78.47826087,82.17391304,16,76,81.3125,23,78.47826087,82.17391304,17,47.52184824,78.05882353,21,73.1,15,79.7,20,76.8
CD_I298279,Angus Brayshaw,9,Snr,MELB,2014 National,3,27,none,none,DEF,none,11.95454545,1.045454545,0,1.769230769,29.22222222,0,52.6,0,55.5,0,none,none,none,none,25,59.21706194,83.16666667,24,15.58333333,83.16666667,25,3.6,82.44,14,59.21706194,74.71428571,22,77.5,22,77.5,5,71.1
CD_I290778,Luke Parker,13,Snr,SYD,2010 National,40,30,none,none,MID,none,70.09090909,0,66.16666667,0,74.8,0,76,0,89.33333333,0,none,none,none,none,26,82.36973177,88.8,25,72.4,82.76,23,72.30434783,80.43478261,17,82.36973177,86.29411765,22,85.2,22,88.3,24,86
CD_I291969,Stephen Coniglio,12,Snr,GWS,2011 National,2,29,none,none,MID/FWD,none,48.71428571,0,30.18181818,0,69.1,0,65.5,0,none,none,none,none,none,none,23,71.11852239,87.375,21,48.71428571,84.19047619,7,36.14285714,65.28571429,16,71.11852239,87.375,15,79.7,23,85.1,10,81.6
CD_I294036,George Hewett,10,Snr,CARL,2013 National,32,27,none,none,MID,none,73.33333333,0,74.44444444,0,71.66666667,0,none,none,none,none,none,none,none,none,24,73.33333333,82.6,15,73.33333333,77.4,21,28.14285714,78.61904762,6,33.27505828,80.66666667,22,82.2,23,82.6,24,76.3
CD_I1009199,Noah Anderson,4,Snr,GCFC,2019 National,2,22,none,104 [NAB League],MID,none,71.71428571,0,68.45454545,0,75.3,0,73,0,none,none,none,none,none,none,21,71.71428571,87.47619048,21,71.71428571,87.47619048,20,47.75,76.35,17,17.33067111,76.05882353,none,none,none,none,none,none
CD_I992049,Jayden Short,9,Snr,RICH,2014 Rookie,11,27,none,none,MID,none,34.5,15,23.72727273,27.90909091,45.27272727,2.090909091,40.6,4.6,49,0,none,none,none,none,24,35.13043478,86.04545455,23,35.13043478,82.17391304,22,0,86.04545455,21,0,79.23809524,15,73.5,24,79.1,16,76.6
CD_I294318,Ollie Wines,11,Snr,PORT,2012 National,7,28,none,none,MID,none,70.76190476,0,68.5,0,72.81818182,0,71.8,0,none,none,none,none,none,none,25,73.66666667,77.38095238,21,70.76190476,77.38095238,24,73.66666667,77.29166667,17,65.27798105,71.94117647,12,76.7,22,75.4,23,77.2
CD_I993946,Ben Keays,8,Snr,ADEL,2015 National,24,26,none,none,MID,none,68.77272727,0,79.91666667,0,55.4,0,34.4,0,none,none,none,none,none,none,22,79.81818182,86.25,22,68.77272727,84.18181818,22,79.81818182,84.72727273,16,48.00664731,86.25,2,80,2,80.2,10,79.2
CD_I297354,Karl Amon,10,Snr,HAW,2013 National,68,27,none,none,MID,none,15.63636364,0.454545455,19.27272727,0,12,0.909090909,7.8,0,none,none,none,none,none,none,24,25.29166667,84.94736842,22,15.63636364,80.31818182,24,25.29166667,82.125,19,4.614197798,84.94736842,17,77.9,6,72,14,71.4
CD_I291790,Adam Treloar,12,Snr,WB,2010 Cat B,none,30,none,none,MID,none,35.33333333,6.428571429,46.75,0,20.11111111,15,7.25,20.5,50,0,none,none,none,none,24,59.31917211,84.5,22,36,81.90909091,17,32.47058824,75.29411765,10,59.31917211,75.6,24,79.5,17,79.2,21,81.4
