fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,scProjectionMiddle,scKeeper,scPricePrice,scPricePricedat,scPriceMMrating,scDraftRank,scKeeperRank,,scBackgroundIcon1,scBackgroundIcon2,scBackgroundIcon3,scComment,scShort,scPreseasonGame1,scPreseasonGame2,scPreseasonGT,scPositionRankonprice,scPositionRankon2022average,scPositionRankonPPM,scPositionRankonlast5,scPositionRankoncareerhigh,scPrice150k,scPrice85,scPricecareerhigh,scConsistencyHigh,scConsistencyLow,scConsistency120,scConsistency100,scConsistency90,scConsistency70,scConsistency50tog,scConsistency CBAHigh,scConsistency CBALow,scConsistency CBA120,scConsistency CBA100,scConsistency CBA90,scConsistency CBA70,scConsistency CBA50tog,scConsistency KIHigh,scConsistency KILow,scConsistency KI120,scConsistency KI100,scConsistency KI90,scConsistency KI70,scConsistency KI50tog,scSplitsRegular,scSplitsVregular,scSplitsH1,scSplitsVH1,scSplitsH2,scSplitsVH2,scSplitsLast5,scSplitsVLast5,scSplitsFinals,scSplitsVfinals,scSplitsExlowest,scSplitsVexlowest,scBestAverage,sc2022Average,sc2021Average,sc2020Average,sc2019Average,sc2018Average,sc2017Average,scBestRank,sc2022Rank,sc2021Rank,sc2020Rank,sc2019Rank,sc2018Rank,sc2017Rank,scBest100GT,sc2022100GT,sc2021100GT,sc2020100GT,sc2019100GT,sc2018100GT,sc2017100GT,scBestTrend,sc2022Trend,sc2021Trend,sc2020Trend,sc2019Trend,sc2018Trend,sc2017Trend,scStatDisposals,scStatEfficiency,scStatContested,scStatClangers,scStatTackles,scStatValue,scStat22Disposals,scStat22Efficiency,scStat22Contested,scStat22Clangers,scStat22Tackles,scStat22Value,scStatLabel
CD_I293222,Rory Laird,12,Snr,127,125,703900,128,Full,M1,M3,,1,22,25,"Laird's always been a natural scorer, averaging over 93 for five seasons straight as a defender before making the switch to the midfield in mid-2020. Since then (a 48-game sample), he's averaged 122 and finished 2022 as good as anyone in SuperCoach. It's hard to see him slowing down, given his age (still under 30), his elite tackling numbers (number two in the comp), ability to avoid the tag (teams opted to tag the more damaging Dawson when playing the Crows), consistency (lowest score of 93 last year with 13 games over 120) and the fact the Crows have opted to recruit players outside the midfield in recent years, meaning his full time midfield role should remain. The limited trades make SuperCoach a different game to Fantasy, where I'm more prepared to pay a 'full' price for starting selection I think will be a top scorer as I'm going to need to trade them in at one point anyway. Last year, I started with Jack Macrae who was priced at 128, more than Laird this year. That means I'm considering Laird in my starting line-up, it all depends on how many players with upside I want in my team as I typically prioritise upside over consistency in my fantasy teams.",Averaged 122 since midfield move and hard to see that changing,none,none,none,1,2,1,1,2,155,-2,0,156,93, 13 / 20, 18 / 20, 0 / 20, 0 / 20, 0 / 20,85,71,78.23076923,79.22222222,none,none,none,0,0,0,0,none,none,none,127.85,0,121.9,6,133.8,-6,131.8,-4,none,none,129.6842105,-2,127.85,127.85,116.2727273,105.1176471,96.81818182,108.25,100.16,10,2,11,33,49,13,22,162.9700446,153.4098152,142.3522596,123.1831395,111.7751914,126.2295082,116.9014085,0,11.57727273,11.15508021,8.299465241,-11.43181818,8.09,2.686315789,32.95,72.93363393,45.70078877,4.8,8.1,7.55,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I1002232,Andrew Brayshaw,6,Snr,111,114,615600,112,Full,M16,M28,,4,9,24,"Brayshaw's is a player who is better in real life than his SuperCoach scoring suggests. He was top 4 in the Brownlow and won the player MVP, however he averaged the 12th most SuperCoach points amongst midfielders. This is largely to the fact he's not much of a contested footballer, despite his one percenters and effort. He wins 32% of his possessions contested (the top 8 mids averaged 47%) and averaged less than 4 clearances per game (Oliver, Miller, Laird and Neale are all 7.6). Contested possessions and clearances are gold in SuperCoach and coupled with the fact Brayshaw is clearly Fremantle's best midfielder, meaning he's subject to a tag most weeks, he's not a safe SuperCoach selection as he would appear to be from the outside. He's 23, they've added O'Meara and his TOG should increase a bit, so there's every chance Brayshaw will improve again. However, I doubt that will be enough for him to join the top 8.","His surprisingly low clearance and contested possession game, coupled with the tag threat, limits him from being a top liner in SuperCoach",none,none,none,10,13,2,22,13,139,-9,2,189,77, 8 / 24, 12 / 24, 3 / 24, 0 / 24, 0 / 24,81,79,76.25,76.25,78.33333333,none,none,0,0,0,0,0,none,none,111.8181818,0,114.6153846,-3,107.7777778,4,104.2,8,95.5,17,111.9130435,0,110.4583333,110.4583333,107.35,101.2941176,70.5,60.52941176,none,43,16,24,54,205,244,none,142.7072403,142.7072403,132.2969543,126.7564403,97.95134443,100.4511278,none,0,3.108333333,6.055882353,30.79411765,9.970588235,none,none,29.33333333,72.67271787,31.97456754,4,6.208333333,3.875,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I996701,Clayton Oliver,8,Snr,125,135,699800,127,Full,M2,M1,,1,24,22,"Oliver is my type of Fantasy midfielder. High game time (86%), high CBAs (87%) and always around the ball (averaged over 31 touches per game in 2021 and 32 in 2022), meaning he's been a SuperCoach stud for the majority of his career. Before last season, opposition teams put more attention into Petracca, which meant Oliver avoided the tag. However, the pendulum shifted in 2022 and Oliver copped his fair share of opposition attention. However, his elite tackle rate (5.5 per game compared with 5.3 of the other top 8 mids) and contested game (54% v 47%) means he can still score fine with a tag. With the other top liners also subject to a tag this year, Oliver is likely to be the top player in SuperCoach again in 2023.",Ball magnet with a high contested rate (54%) means he's likely to be the top player in SuperCoach again in 2023,none,none,none,2,1,7,5,1,154,18,-2,178,68, 13 / 23, 19 / 23, 2 / 23, 1 / 23, 0 / 23,81,83,87.23076923,86.68421053,89,83,none,0,0,0,0,0,0,none,127.0952381,0,127.0769231,0,127.125,0,115.4,12,145.5,-19,131.4545455,-4,128.6956522,128.6956522,125.8,122.2352941,109.3636364,113.36,111.4545455,7,1,3,3,15,9,7,148.8185018,130.5681247,123.880597,137.3326286,128.3195592,129.6743064,131.9480519,0,2.895652174,3.564705882,12.87165775,-3.996363636,1.905454545,41.14685315,32.73913043,67.42535283,54.28449771,4.913043478,5.47826087,8.652173913,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I993905,Callum Mills,8,Snr,115,121,642400,117,Full,M10,M11,,1,25,9,"Mills continued his breakout 2021 form last season and finished the year as a top 8 averaging midfielder. He possesses a high mark and tackle game and uses the ball well, averaging 4% better disposal efficiency and 1 less clanger a game compared to the other top 8 mids. However, he clearly has the lowest CBAs when compared to this group, due to his versaltility. There were many occasions last season when he was shifted to be loose man in defence or to a wing and play behind the ball. His CBAs dropped (65% pre bye and 42% post) which coincided with a decrease in scoring (122 to 111). I have him as a top 8 mid again this season, however I'd want to be confident of him sustaining 65%+ CBAs before taking the jump.",Marks/tackles/kicking efficiency tick! Versatility and potential to be push behind the ball the concern,none,none,none,5,7,10,16,7,144,7,2,214,60, 9 / 25, 17 / 25, 6 / 25, 1 / 25, 0 / 25,68,73,62.11111111,58.41176471,57.5,73,none,0,0,1.444444444,0.764705882,0,0,none,116.6363636,0,121.5833333,-5,110.7,6,108.8,8,104,13,117.4166667,0,115.12,115.12,112.4444444,101.4,81.77272727,79,73.33333333,29,7,18,53,115,124,135,138.5352498,129.5454545,135.523614,103.2649254,87.57928118,85.78034682,86.18988903,0,2.675555556,11.04444444,19.62727273,2.772727273,5.666666667,-1.348484848,24.4,74.35803035,39.10476325,2.96,6.32,3.8,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I296205,Jack Steele,9,Snr,118,122,604400,110,Fair,M8,M10,,2,15,0,"Steele had a disappointing SuperCoach season after coming in as the second most expensive player in the comp. He averaged an absurd 136 post bye in 2021, meaning a lot of coaches paid up thinking he was a lock as a top 4 mid. However, he never got going. Steele hurt his AC joint in Round 9, which didn't help his cause, and he never found the same levels as he did in 2021. Steele's rise to the SuperCoach elite coincided with Ratten taking over as coach and relinquishing him of his tagging duties, which saw him average 121 in 2020 and 126 in 2021. It will be interesting to see what role Ross Lyon has for him, but it is hard to see Steele not being their primary inside midfielder again. A prime bounce-back candidate and someone priced outside the top 8 mids with the ability to finish inside.","Primed for a bounce-back, as long as the new coach keeps him in his role",none,none,none,15,14,9,19,3,137,0,-16,143,58, 8 / 18, 13 / 18, 4 / 18, 1 / 18, 0 / 18,78,74,79.5,82.84615385,78,74,none,0,0,0,0,0,0,none,109.7777778,0,109.5555556,0,110,0,105.2,5,none,none,112.8235294,-3,126.4761905,109.7777778,126.4761905,120.5789474,95,94.42857143,91.1,11,18,2,6,60,53,51,148.7955182,129.7650131,142.7807487,132.6970443,114.0569395,118.7421384,122.5891678,-16.6984127,-16.6984127,5.897243108,25.57894737,0.571428571,3.328571429,27.3,27.11111111,73.59444579,43.0182578,3.555555556,7.166666667,5.166666667,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I295518,Sam Docherty,12,Snr,111,112,603600,110,Fair,D4,D4,,2,29,0,"Docherty's return in 2021 was one of the stories of the year. SuperCoach-wise, he went from looking like not playing at all to a clear top 6 defender, averaging 110 points per game. His scoring ability isn't a shock, considering he has a career best year of 115 pre knee injuries. His issues in the past from a SuperCoach perspective have been his health and attention from opposition players. If last year was anything to go by, he looks in full fitness and teams opted to tag Saad more than Docherty, which is great for Docherty's Fantasy prospects. He doesn't get the intercept marks and possessions that the other top defenders in SuperCoach do, however he finished the season playing as an inside mid, purely due to the injuries to Carlton's regular midfielders, and showed a tackle and ball winning ability that suggest he could be in the Laird/Mills mould of Fantasy defenders turned midfielders. It's more likely he'll return to defence where he'll still likely be a top 6 defender in SuperCoach again.",0,none,none,none,4,3,3,9,1,137,1,-5,144,73, 10 / 22, 13 / 22, 4 / 22, 0 / 22, 0 / 22,0,0,16.3,12.53846154,0,none,none,10,33,18.6,22.69230769,49.5,none,none,109.6363636,0,109.8181818,0,109.4545455,1,109.4,1,none,none,111.3809524,-1,114.7272727,109.6363636,97.92857143,92.3125,zero,zero,114.7272727,32,19,48,86,none,none,4,128.0211082,128.0211082,113.7561779,107.5625474,zero,zero,125.5113025,-5.090909091,11.70779221,5.616071429,-22.41477273,none,none,6,28.40909091,79.28856304,24.60086323,3.772727273,3.318181818,5.863636364,25.11622807,80.7235179,28.70226389,3.141985646,2.327352472,7.156419458,Intercepts
CD_I298272,Touk Miller,9,Snr,123,128,662400,120,Fair,M3,M2,,1,24,0,"Miller's progression in the last three seasons is pretty remarkable. Played as a defensive mid in 2020, to an offensive mid in 2021 to then the mid who got tagged in 2022. The added attention meant an increase in contested possessions, from 39% in 2021 to 54% in 2022. There is no harder working midfielder in the comp, and those contested numbers meant he managed to still put up some decent scores when tagged. The hope is that Anderson and Rowell take the next step in 2023 which might see Miller avoid the tag. Regardless, he's a lock for a top 8 mid for the 3rd year in a row.","Contested rate up to 57% means he'll remain a lock to be a top 8 mid for the third year in a row, despite the added attention",none,none,none,4,4,13,2,3,148,14,-4,167,59, 11 / 22, 17 / 22, 2 / 22, 1 / 22, 0 / 22,65,87,80.72727273,81.82352941,81,87,none,0,0,0,0,0,0,none,120.3181818,0,117.5833333,2,123.6,-4,127.4,-7,none,none,123.2380952,-3,124.2380952,120.3181818,124.2380952,105.9411765,84.83333333,88.86363636,76.25,13,4,4,31,97,70,118,146.4085297,126.6911379,143.714927,122.2341185,110.7719441,101.8957346,95.94095941,-3.91991342,-3.91991342,18.29691877,21.10784314,-4.03030303,12.61363636,-2.583333333,28.45454545,63.1904535,53.61865143,4.363636364,6.045454545,7.909090909,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I993834,Josh Dunkley,8,Snr,118,123,596400,108,Low,M9/F1,M9/F1,,1,12,0,"We know Dunkley can score as well as any player in SuperCoach. He averaged 118 in the last five games of 2018, 124 after Round 6 in 2019 and 116 in the first half of 2021. However, he's just never put together a full season, largely due to Bevo taking him out of the midfield. He had a strong 2022, averaging 109, with just 51% CBAs. Two things have gone in Dunkley's favour for 2023. First, he played enough forward to be gifted forward status in SuperCoach. The second is he's been traded to the Lions, where it's expected he'll take up a full-time midfield role. So while he comes into the season as the most expensive forward available, he certainly has some upside on his price and will very likely be the number 1 forward for the season.",Forward status + Brisbane trade makes him clearly the number 1 forward as he can score as well as any in SuperCoach,none,none,none,1,1,1,3,1,136,-3,-8,155,62, 8 / 23, 14 / 23, 5 / 23, 3 / 23, 0 / 23,68,72,49.5,48.35714286,49.2,48.66666667,none,0,0,0,0,0,0,none,108.3181818,0,112.3333333,-4,103.5,5,113.8,-6,124,-16,111.1363636,-3,116.0434783,109,98.6,103.75,116.0434783,95.10526316,60,26,22,47,41,8,49,214,137.3295601,131.2889813,113.4745763,120.2022822,130.2289684,117.4019608,80.56265985,-7.043478261,10.4,-5.15,-12.29347826,20.9382151,35.10526316,-14.29411765,25.39130435,72.66235681,43.72964883,3.086956522,6.086956522,0.782608696,20.35798074,70.28924512,43.39027832,3.038980488,4.25614499,1.318991781,Goals
CD_I992016,Zach Merrett,10,Snr,114,117,617500,112,Fair,M12,M19,,2,24,0,"Zach Merrett isn't your typical elite SuperCoach mid. He has a low contested possession rate of 32% (compared to the other top 8 mids of 47%), however his kicking efficiency, arguably the best short kick in the competition, helps him produce top 8 numbers. He had a slow start to 2022 after an early season syndesmosis which he took a while getting back to his best. He had a role change where he started a lot of centre bounces at half forward and worked up to the ball. This saw his CBAs drop from 80% in 2021 to 61% at the bye in 2022. Not sure whether it was a planned switch or forced given Parish went down injured, but Merrett returned to Essendon's prime centre bounce mid post byes, bumping his CBAs up to 72%. He averaged 117 in this time which is more reflective of his career output. He's always been subject and vulnerable to a tag, but when playing inside he's an automatic 110+. This means he's slightly underpriced heading into 2023 and assuming Brad Scott keeps him as an inside mid.",117 post bye when his CBAs returned to normal,none,none,none,9,8,11,7,7,139,2,-4,150,57, 8 / 19, 13 / 19, 3 / 19, 1 / 19, 0 / 19,80,26,69.625,66.61538462,60.33333333,26,none,0,0,0,0.461538462,0,0,none,112.1578947,0,106.125,6,116.5454545,-5,113.4,-1,none,none,115.2222222,-3,115.6,112.1578947,114.5652174,115.6,105.6,100.4,109.2,28,11,16,10,21,33,10,142.5587467,128.9423686,133.9483395,140.3525398,139.9456522,133.0275229,151.0443864,-3.442105263,-2.407322654,-1.034782609,10,5.2,-8.8,-2.3,30.10526316,73.61952114,31.52841836,3.894736842,4.315789474,4.631578947,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
CD_I293535,Lachie Neale,12,Snr,121,124,676200,123,Full,M5,M7,,1,24,0,"Neale came into 2022 as an underpriced premium following a 2021 season where nothing went right (calf, back and ankle injuries). It was an easy selection and looked like a great one, when he averaged 130 in the first half of the season and showed 2020 was no fluke. The issue with Neale is that he is clearly Brisbane's most damaging midfielder and teams quickly learnt that if they shut down Neale, they would shut down the Lions. This saw him averaged 110 for the second half of the season. He's a much improved footballer and his high contested rate (54%) and disposal efficiency (70%) means that he can score as well as any in SuperCoach if let run free. The recruitment of Josh Dunkley should improve the Lions' midfield depth and we might see Neale run free more in 2023, and while I think it will be hard for him to match his 123 average in 2021, I still think he'll be a top 8 mid.","54% contested into 70% effective means he'll produce top 8 numbers, despite the constant tag threat",none,none,none,3,3,29,12,1,150,25,-11,198,76, 13 / 25, 20 / 25, 4 / 25, 0 / 25, 0 / 25,83,83,86.53846154,85.85,82.5,none,none,0,0,0,0,0,none,none,122.8181818,0,130.3846154,-7,111.8888889,11,110.2,13,124,-1,124.9166667,-2,133.7368421,122.96,102.4705882,133.7368421,118.9166667,111.8636364,109,3,3,37,2,5,10,11,144.9515117,120.2832344,115,130.4192812,116.4698163,124.9376559,128.8288288,-10.77684211,20.48941176,-31.26625387,14.82017544,7.053030303,2.863636364,-3.636363636,29.96,70.1408626,53.83609438,3.44,4.52,7.64,28.83718956,70.44127769,46.78371283,3.968325922,5.324824605,6.468673419,Clearances
